back away|[bæk əˈweɪ]|отступать, пятиться
fix up|[fɪks ʌp]|устраивать
flick through||просматривать
float around|[fləʊt əˈraʊnd]|носиться в воздухе
flush out|[flʌʃ aʊt]|спугнуть
follow out||приводить в исполнение
follow up|[ˈfɒləʊ ʌp]|расследовать
fool about|[fuːl əˈbaʊt]|валять дурака
force back||отражать натиск
forge ahead|[fɔːʤ əˈhed]|вырываться вперед
fork out|[fɔːk aʊt]|выкладывать
frown on||смотреть с неодобрением
fuss over||трястись над
gasp out||выпаливать
get about|гл|распространяться
get across|[get əˈkrɔs]|объяснять
get at||придираться
get away|[get əˈweɪ]|уходить
get away with||избежать наказания
get by|[get baɪ]|проходить
get on to||переходить к
get out of||отделываться от
get round to||собираться сделать что-либо
get up to||заниматься
give in|[gɪv ɪn]|подчиниться
give off|[gɪv ɒf]|дымить
go about|[gəʊ əˈbaʊt]|прохаживаться
go back on||не сдерживать
go for|[gəʊ fɔː]|добиваться
go in for|[gəʊ ɪn fɔː]|принимать участие
go on at||приставать к
go through with||осуществлять
go with|[gəʊ wɪð]|соответствовать
go without||оставаться без
hang about|[hæŋ əˈbaʊt]|слоняться
happen on||натыкаться на
head for||направляться к
head off|[hed ɒf]|отводить
hit on||отыскивать
hit out at||набрасываться
hold on to||держаться за
hold over||откладывать
hush up|[hʌʃ ʌp]|умалчивать
inquire into||расследовать
iron out|[ˈaɪən aʊt]|улаживать
jog along||медленно продвигаться
jump about|[ʤʌmp əˈbaʊt]|суетиться
jump at||ухватываться за
keep down|[kiːp daʊn]|сдерживать
keep in|[kiːp ɪn]|держать дома
keep off|[kiːp ɒf]|обходить, избегать
keep out||не впускать
knock about|[nɒk əˈbaʊt]|околачиваться
ladle out||раздавать направо и налево
land up||очутиться
launch into||пускаться в
lay in||запасать
lay into||набрасываться на
lay on|[leɪ ɒn]|устраивать
lay out|[leɪ aʊt]|раскладывать
lead off||отходить от
lead on||водить за нос
leave behind|[liːv bɪˈhaɪnd]|забыть что-либо
leave off|[liːv ɒf]|не включать
leave on||не снимать
leave out|[liːv aʊt]|пропускать, оставлять без внимания
let on||проговариваться
let up|гл|переставать
lie about|[laɪ əˈbaʊt]|валяться
lie back|[laɪ bæk]|откидываться
lie up||скрываться
live down||заглаживать
lock away|[lɒk əˈweɪ]|заключать под стражу
log into||входить в
look on|[lʊk ɒn]|наблюдать
look out for|[lʊk aʊt fɔː]|остерегаться
look through||просматривать
look up|[lʊk ʌp]|находить информацию
make off|[meɪk ɒf]|скрываться
mark down|[mɑːk daʊn]|снижать, уценивать
mark off|[mɑːk ɒf]|отмечать
mark out|[mɑːk aʊt]|размечать, выделять
mark up|[mɑːk ʌp]|повышать, добавлять стоимость
measure up|[ˈmeʒə ʌp]|оправдывать
mix up|[mɪks ʌp]|путать
mount up|[maʊnt ʌp]|накапливаться
muddle along||справляться кое-как
muddle through|[mʌdl θruː]|выкарабкиваться
pack off|[pæk ɒf]|отправлять
